85,540,540,1.98,96.59
80,"1,010","1,550",5.68,90.91
78.1,120,"1,670",6.12,88.75
78,160,"1,830",6.71,88.64
77,130,"1,960",7.18,87.5
76,"3,500","5,460",20.01,86.36
75.48,160,"5,620",20.6,85.77
75,570,"6,190",22.69,85.23
74.88,770,"6,960",25.51,85.09
73,450,"7,410",27.16,82.95
72.5,250,"7,660",28.08,82.39
71,"2,060","9,720",35.63,80.68
70.1,"1,500","11,220",41.13,79.66
70,"3,120","14,340",52.57,79.55
69.58,270,"14,610",53.56,79.07
69,840,"15,450",56.63,78.41
68.6,130,"15,580",57.11,77.95
68.16,270,"15,850",58.1,77.45
68,"1,800","17,650",64.7,77.27
67,520,"18,170",66.61,76.14
66,"1,020","19,190",70.34,75
65.51,100,"19,290",70.71,74.44
65.5,270,"19,560",71.7,74.43
65,"2,390","21,950",80.46,73.86
64,720,"22,670",83.1,72.73
63.9,200,"22,870",83.83,72.61
63,"1,530","24,400",89.44,71.59
62.5,530,"24,930",91.39,71.02
62,670,"25,600",93.84,70.45
61,270,"25,870",94.83,69.32
60.5,100,"25,970",95.2,68.75
60.3,540,"26,510",97.18,68.52
60,"4,030","30,540",111.95,68.18
59.74,140,"30,680",112.46,67.89
59,140,"30,820",112.98,67.05
58.8,170,"30,990",113.6,66.82
58,270,"31,260",114.59,65.91
57.5,170,"31,430",115.21,65.34
57.2,270,"31,700",116.2,65
57,"1,390","33,090",121.3,64.77
56.8,400,"33,490",122.76,64.55
56,100,"33,590",123.13,63.64
55.3,270,"33,860",124.12,62.84
55.24,130,"33,990",124.6,62.77
55,540,"34,530",126.58,62.5
52.2,100,"34,630",126.94,59.32
52,540,"35,170",128.92,59.09
51.12,270,"35,440",129.91,58.09
50,910,"36,350",133.25,56.82
49.4,270,"36,620",134.24,56.14
48.6,170,"36,790",134.86,55.23
46.17,270,"37,060",135.85,52.47
43,100,"37,160",136.22,48.86
42.6,270,"37,430",137.21,48.41
40,"1,280","38,710",141.9,45.45
29.4,270,"38,980",142.89,33.41
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
