16,1200,39290,98.23,30.19
16.2,400,38090,95.23,30.57
17.6,100,37690,94.23,33.21
18,600,37590,93.98,33.96
18.38,400,36990,92.48,34.68
18.58,400,36590,91.48,35.06
18.6,400,36190,90.48,35.09
18.9,800,35790,89.48,35.66
19,800,34990,87.48,35.85
19.5,300,34190,85.48,36.79
19.6,800,33890,84.73,36.98
19.8,3930,33090,82.73,37.36
20,1200,29160,72.9,37.74
20.58,400,27960,69.9,38.83
21,800,27560,68.9,39.62
21.6,400,26760,66.9,40.75
22,4200,26360,65.9,41.51
22.68,400,22160,55.4,42.79
22.7,400,21760,54.4,42.83
23,400,21360,53.4,43.4
23.4,400,20960,52.4,44.15
24,2000,20560,51.4,45.28
24.63,400,18560,46.4,46.47
25,1600,18160,45.4,47.17
25.2,3600,16560,41.4,47.55
25.21,100,12960,32.4,47.57
25.6,400,12860,32.15,48.3
26,700,12460,31.15,49.06
26.04,400,11760,29.4,49.13
27,100,11360,28.4,50.94
27.6,200,11260,28.15,52.08
27.7,1200,11060,27.65,52.26
28,1200,9860,24.65,52.83
28.35,400,8660,21.65,53.49
28.6,150,8260,20.65,53.96
29,200,8110,20.28,54.72
29.1,150,7910,19.78,54.91
29.61,500,7760,19.4,55.87
29.7,200,7260,18.15,56.04
29.9,200,7060,17.65,56.42
30,2470,6860,17.15,56.6
31,200,4390,10.98,58.49
32,2000,4190,10.48,60.38
33,990,2190,5.48,62.26
35,800,1200,3,66.04
36,400,400,1,67.92
