58.05,340,340,1,93.63
51.7,340,680,2,83.39
50,"1,470","2,150",6.32,80.65
48,420,"2,570",7.56,77.42
46.5,170,"2,740",8.06,75
46,680,"3,420",10.06,74.19
45.15,680,"4,100",12.06,72.82
45,"1,250","5,350",15.74,72.58
43.8,140,"5,490",16.15,70.65
43.4,340,"5,830",17.15,70
43,340,"6,170",18.15,69.35
42.3,580,"6,750",19.85,68.23
42,"1,660","8,410",24.74,67.74
41.85,"1,360","9,770",28.74,67.5
41,490,"10,260",30.18,66.13
40.01,100,"10,360",30.47,64.53
40,"2,220","12,580",37,64.52
39,"4,420","17,000",50,62.9
38.78,340,"17,340",51,62.55
38,"1,560","18,900",55.59,61.29
37.6,340,"19,240",56.59,60.65
37,390,"19,630",57.74,59.68
36,560,"20,190",59.38,58.06
35.9,240,"20,430",60.09,57.9
35.1,510,"20,940",61.59,56.61
35,570,"21,510",63.26,56.45
34.87,120,"21,630",63.62,56.24
33.84,340,"21,970",64.62,54.58
33.06,340,"22,310",65.62,53.32
33,"1,700","24,010",70.62,53.23
32.67,110,"24,120",70.94,52.69
32,"1,990","26,110",76.79,51.61
30.8,100,"26,210",77.09,49.68
30.4,340,"26,550",78.09,49.03
30,680,"27,230",80.09,48.39
29.78,340,"27,570",81.09,48.03
29.77,110,"27,680",81.41,48.02
29,100,"27,780",81.71,46.77
28.2,680,"28,460",83.71,45.48
28,340,"28,800",84.71,45.16
26.4,340,"29,140",85.71,42.58
25,680,"29,820",87.71,40.32
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
