38,460,460,1,90.48
33.8,230,690,1.5,80.48
31.2,230,920,2,74.29
31.05,460,1380,3,73.93
31,1840,3220,7,73.81
30.56,1480,4700,10.21,72.76
30.12,460,5160,11.21,71.71
30,2990,8150,17.71,71.43
29.8,460,8610,18.71,70.95
29,920,9530,20.71,69.05
28,3140,12670,27.54,66.67
27.6,3500,16170,35.15,65.71
27,2940,19110,41.54,64.29
26.8,460,19570,42.54,63.81
26.22,460,20030,43.54,62.43
26.2,1260,21290,46.28,62.38
26.01,100,21390,46.5,61.93
26,1180,22570,49.07,61.9
25.9,920,23490,51.06,61.67
25,2400,25890,56.28,59.52
24.88,160,26050,56.63,59.24
24.8,300,26350,57.28,59.05
24.59,220,26570,57.76,58.55
24.2,2300,28870,62.76,57.62
24.18,400,29270,63.63,57.57
24,1430,30700,66.73,57.14
23,560,31260,67.95,54.76
22.25,460,31720,68.95,52.98
22.18,150,31870,69.28,52.81
22,460,32330,70.28,52.38
21.8,460,32790,71.28,51.9
21.6,460,33250,72.28,51.43
21.59,200,33450,72.71,51.4
21,400,33850,73.58,50
20.49,320,34170,74.28,48.79
20.4,920,35090,76.28,48.57
20.18,460,35550,77.28,48.05
19.43,150,35700,77.6,46.26
18,460,36160,78.6,42.86
17.9,460,36620,79.6,42.62
17.39,140,36760,79.91,41.4
16.3,460,37220,80.91,38.81
15,460,37680,81.91,35.71
11,300,37980,82.56,26.19
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
