108,300,300,0.41,147.95
100,"1,890","2,190",2.96,136.99
99,100,"2,290",3.09,135.62
90,"3,410","5,700",7.7,123.29
85.8,"1,480","7,180",9.7,117.53
85,"3,100","10,280",13.89,116.44
83,790,"11,070",14.96,113.7
82,"1,830","12,900",17.43,112.33
81,610,"13,510",18.26,110.96
80,"4,040","17,550",23.72,109.59
79.2,740,"18,290",24.72,108.49
79,"9,110","27,400",37.03,108.22
78.8,600,"28,000",37.84,107.95
78,"4,670","32,670",44.15,106.85
77,100,"32,770",44.28,105.48
76.1,100,"32,870",44.42,104.25
76,"1,940","34,810",47.04,104.11
75.6,400,"35,210",47.58,103.56
75.18,740,"35,950",48.58,102.99
75,"7,370","43,320",58.54,102.74
74.98,120,"43,440",58.7,102.71
73.8,740,"44,180",59.7,101.1
73,"3,600","47,780",64.57,100
72.6,"1,820","49,600",67.03,99.45
72,"1,480","51,080",69.03,98.63
71.8,"1,610","52,690",71.2,98.36
71,"1,200","53,890",72.82,97.26
70.5,180,"54,070",73.07,96.58
70.15,"1,860","55,930",75.58,96.1
70.1,100,"56,030",75.72,96.03
70.08,"3,800","59,830",80.85,96
70,"25,710","85,540",115.59,95.89
69.8,500,"86,040",116.27,95.62
69,"1,330","87,370",118.07,94.52
68.4,300,"87,670",118.47,93.7
68.18,480,"88,150",119.12,93.4
68.1,100,"88,250",119.26,93.29
68,"5,660","93,910",126.91,93.15
67.65,"1,480","95,390",128.91,92.67
67.2,370,"95,760",129.41,92.05
67.1,200,"95,960",129.68,91.92
67,850,"96,810",130.82,91.78
66.3,190,"97,000",131.08,90.82
66.19,100,"97,100",131.22,90.67
66,"14,440","111,540",150.73,90.41
65.17,100,"111,640",150.86,89.27
65,"4,960","116,600",157.57,89.04
64.98,100,"116,700",157.7,89.01
63.46,"1,480","118,180",159.7,86.93
63,240,"118,420",160.03,86.3
62.58,740,"119,160",161.03,85.73
62.5,580,"119,740",161.81,85.62
62,"9,590","129,330",174.77,84.93
61.5,840,"130,170",175.91,84.25
61,400,"130,570",176.45,83.56
60.73,"2,140","132,710",179.34,83.19
60.01,350,"133,060",179.81,82.21
60,"10,170","143,230",193.55,82.19
58.8,740,"143,970",194.55,80.55
58,"2,370","146,340",197.76,79.45
57.81,740,"147,080",198.76,79.19
57.8,270,"147,350",199.12,79.18
57,460,"147,810",199.74,78.08
56,"1,180","148,990",201.34,76.71
55.5,740,"149,730",202.34,76.03
55,300,"150,030",202.74,75.34
54,170,"150,200",202.97,73.97
52,500,"150,700",203.65,71.23
51.27,740,"151,440",204.65,70.23
51.1,100,"151,540",204.78,70
50,"1,140","152,680",206.32,68.49
48,560,"153,240",207.08,65.75
46,100,"153,340",207.22,63.01
44,370,"153,710",207.72,60.27
39.78,290,"154,000",208.11,54.49
37.88,300,"154,300",208.51,51.89
37.6,370,"154,670",209.01,51.51
34.81,150,"154,820",209.22,47.68
