80,770,770,2.07,98.77
76,130,900,2.42,93.83
75,100,"1,000",2.69,92.59
74.3,190,"1,190",3.2,91.73
72.6,370,"1,560",4.19,89.63
72,"1,210","2,770",7.45,88.89
71,170,"2,940",7.9,87.65
70,940,"3,880",10.43,86.42
68,"1,040","4,920",13.23,83.95
67,"1,040","5,960",16.02,82.72
66.09,200,"6,160",16.56,81.59
66,"3,270","9,430",25.35,81.48
65.13,"1,420","10,850",29.17,80.41
65,"4,160","15,010",40.35,80.25
64,"1,910","16,920",45.48,79.01
63.6,370,"17,290",46.48,78.52
63,480,"17,770",47.77,77.78
62,670,"18,440",49.57,76.54
61.01,100,"18,540",49.84,75.32
60.8,320,"18,860",50.7,75.06
60.1,170,"19,030",51.16,74.2
60,"8,140","27,170",73.04,74.07
59.4,"1,240","28,410",76.37,73.33
59,370,"28,780",77.37,72.84
58.9,150,"28,930",77.77,72.72
58.88,370,"29,300",78.76,72.69
58.5,100,"29,400",79.03,72.22
58,"1,390","30,790",82.77,71.6
57.79,130,"30,920",83.12,71.35
57.5,300,"31,220",83.92,70.99
57,740,"31,960",85.91,70.37
56,"3,740","35,700",95.97,69.14
55.88,370,"36,070",96.96,68.99
55,"4,540","40,610",109.17,67.9
54.4,370,"40,980",110.16,67.16
53.25,120,"41,100",110.48,65.74
53,"2,690","43,790",117.72,65.43
52.8,100,"43,890",117.98,65.19
52,"3,060","46,950",126.21,64.2
50.2,370,"47,320",127.2,61.98
50.18,370,"47,690",128.2,61.95
50,"3,140","50,830",136.64,61.73
49.8,160,"50,990",137.07,61.48
48.75,190,"51,180",137.58,60.19
47.39,120,"51,300",137.9,58.51
47,340,"51,640",138.82,58.02
46.5,370,"52,010",139.81,57.41
46,160,"52,170",140.24,56.79
45,860,"53,030",142.55,55.56
44.8,370,"53,400",143.55,55.31
44,180,"53,580",144.03,54.32
40,940,"54,520",146.56,49.38
39.6,370,"54,890",147.55,48.89
35,170,"55,060",148.01,43.21
