14.75,500,"37,970",75.94,34.3
15,750,"37,470",74.94,34.88
15.58,160,"36,720",73.44,36.23
16,"1,000","36,560",73.12,37.21
17,450,"35,560",71.12,39.54
17.7,"1,500","35,110",70.22,41.16
17.75,160,"33,610",67.22,41.28
17.88,500,"33,450",66.9,41.58
18,"8,800","32,950",65.9,41.86
18.8,500,"24,150",48.3,43.72
18.9,500,"23,650",47.3,43.95
19,"2,670","23,150",46.3,44.19
19.5,500,"20,480",40.96,45.35
19.92,180,"19,980",39.96,46.33
20,"2,200","19,800",39.6,46.51
20.5,"2,470","17,600",35.2,47.67
21,"5,050","15,130",30.26,48.84
21.01,100,"10,080",20.16,48.86
21.5,250,"9,980",19.96,50
22,"1,500","9,730",19.46,51.16
22.4,500,"8,230",16.46,52.09
23,150,"7,730",15.46,53.49
23.01,500,"7,580",15.16,53.51
23.6,"2,500","7,080",14.16,54.88
24,"1,200","4,580",9.16,55.81
24.17,100,"3,380",6.76,56.21
25,"1,880","3,280",6.56,58.14
27,100,"1,400",2.8,62.79
28,"1,000","1,300",2.6,65.12
28.5,100,300,0.6,66.28
29.55,200,200,0.4,68.72
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
