18,400,44280,110.7,36
22,800,43880,109.7,44
23.5,400,43080,107.7,47
24,800,42680,106.7,48
25,2140,41880,104.7,50
26,400,39740,99.35,52
26.5,400,39340,98.35,53
26.99,800,38940,97.35,53.98
27,2150,38140,95.35,54
28,600,35990,89.98,56
28.2,400,35390,88.48,56.4
28.7,800,34990,87.48,57.4
28.8,400,34190,85.48,57.6
29,350,33790,84.48,58
30,1550,33440,83.6,60
30.1,400,31890,79.73,60.2
30.16,400,31490,78.73,60.32
31,900,31090,77.73,62
32,1200,30190,75.48,64
32.6,500,28990,72.48,65.2
32.9,1200,28490,71.23,65.8
33,2170,27290,68.23,66
33.1,400,25120,62.8,66.2
33.18,100,24720,61.8,66.36
33.32,1200,24620,61.55,66.64
33.33,400,23420,58.55,66.66
33.5,200,23020,57.55,67
33.86,300,22820,57.05,67.72
34,5400,22520,56.3,68
34.3,750,17120,42.8,68.6
35,4750,16370,40.93,70
35.01,200,11620,29.05,70.02
35.29,400,11420,28.55,70.58
36,800,11020,27.55,72
37,400,10220,25.55,74
37.6,1650,9820,24.55,75.2
38,3600,8170,20.43,76
39,1200,4570,11.43,78
40,1170,3370,8.43,80
42,600,2200,5.5,84
42.3,400,1600,4,84.6
45,400,1200,3,90
46,800,800,2,92
