28,700,"69,150",98.79,44.44
30,"1,240","68,450",97.79,47.62
30.6,"1,400","67,210",96.01,48.57
31,800,"65,810",94.01,49.21
32.9,700,"65,010",92.87,52.22
33.33,700,"64,310",91.87,52.9
34,700,"63,610",90.87,53.97
35,"1,650","62,910",89.87,55.56
35.3,700,"61,260",87.51,56.03
35.4,700,"60,560",86.51,56.19
36,"3,080","59,860",85.51,57.14
36.07,230,"56,780",81.11,57.25
36.8,700,"56,550",80.79,58.41
37.2,100,"55,850",79.79,59.05
37.8,140,"55,750",79.64,60
38,800,"55,610",79.44,60.32
38.5,810,"54,810",78.3,61.11
39,"1,300","54,000",77.14,61.9
39.8,280,"52,700",75.29,63.17
39.95,230,"52,420",74.89,63.41
40,"9,350","52,190",74.56,63.49
40.6,130,"42,840",61.2,64.44
40.8,"1,300","42,710",61.01,64.76
41.8,280,"41,410",59.16,66.35
42.8,"2,360","41,130",58.76,67.94
43,700,"38,770",55.39,68.25
43.17,100,"38,070",54.39,68.52
43.4,350,"37,970",54.24,68.89
44,430,"37,620",53.74,69.84
44.17,240,"37,190",53.13,70.11
44.47,700,"36,950",52.79,70.59
44.68,100,"36,250",51.79,70.92
44.88,730,"36,150",51.64,71.24
45,"4,430","35,420",50.6,71.43
45.01,200,"30,990",44.27,71.44
45.1,100,"30,790",43.99,71.59
46,"10,900","30,690",43.84,73.02
47,"1,780","19,790",28.27,74.6
48,"1,790","18,010",25.73,76.19
48.3,210,"16,220",23.17,76.67
49,350,"16,010",22.87,77.78
50,"4,910","15,660",22.37,79.37
51,"4,510","10,750",15.36,80.95
51.5,610,"6,240",8.91,81.75
52,"1,580","5,630",8.04,82.54
52.3,350,"4,050",5.79,83.02
53,100,"3,700",5.29,84.13
53.04,700,"3,600",5.14,84.19
55,700,"2,900",4.14,87.3
58,700,"2,200",3.14,92.06
59.65,300,"1,500",2.14,94.68
60,700,"1,200",1.71,95.24
62,100,500,0.71,98.41
70,400,400,0.57,111.11
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
