15,100,"14,630",37.51,24.59
16,390,"14,530",37.26,26.23
16.3,780,"14,140",36.26,26.72
16.5,100,"13,360",34.26,27.05
16.6,390,"13,260",34,27.21
18,580,"12,870",33,29.51
18.3,390,"12,290",31.51,30
20,2340,"11,900",30.51,32.79
20.18,190,"9,560",24.51,33.08
20.25,980,"9,370",24.03,33.2
21,490,"8,390",21.51,34.43
21.18,100,"7,900",20.26,34.72
21.5,390,"7,800",20,35.25
22,390,"7,410",19,36.07
22.18,100,"7,020",18,36.36
22.68,390,"6,920",17.74,37.18
23,490,"6,530",16.74,37.7
24,290,"6,040",15.49,39.34
24.3,150,"5,750",14.74,39.84
24.5,100,"5,600",14.36,40.16
24.88,390,"5,500",14.1,40.79
26,3320,"5,110",13.1,42.62
27,390,"1,790",4.59,44.26
27.45,180,"1,400",3.59,45
28,390,"1,220",3.13,45.9
30.5,390,830,2.13,50
31,100,440,1.13,50.82
33,140,340,0.87,54.1
33.88,100,200,0.51,55.54
34.02,100,100,0.26,55.77
