19,260,33180,127.62,31.07 
21.8,100,32920,126.62,35.65 
21.82,260,32820,126.23,35.68 
23.7,260,32560,125.23,38.76 
23.8,260,32300,124.23,38.92 
24,100,32040,123.23,39.25 
25,1550,31940,122.85,40.88 
26,200,30390,116.88,42.52 
26.07,260,30190,116.12,42.63 
27.7,520,29930,115.12,45.30 
28,260,29410,113.12,45.79 
28.5,1070,29150,112.12,46.61 
29.33,130,28080,108,47.97 
29.7,260,27950,107.5,48.57 
30,1690,27690,106.5,49.06 
30.46,100,26000,100,49.81 
30.5,1040,25900,99.62,49.88 
31,260,24860,95.62,50.70 
31.6,780,24600,94.62,51.68 
32,1860,23820,91.62,52.33 
33,420,21960,84.46,53.97 
33.42,130,21540,82.85,54.65 
33.5,520,21410,82.35,54.79 
34,100,20890,80.35,55.60 
35,2600,20790,79.96,57.24 
35.15,1040,18190,69.96,57.48 
35.5,260,17150,65.96,58.06 
35.6,520,16890,64.96,58.22 
36,750,16370,62.96,58.87 
36.8,160,15620,60.08,60.18 
37,260,15460,59.46,60.51 
37.5,260,15200,58.46,61.33 
38,680,14940,57.46,62.14 
38.5,260,14260,54.85,62.96 
39,4160,14000,53.85,63.78 
39.5,260,9840,37.85,64.60 
39.65,260,9580,36.85,64.84 
40,2020,9320,35.85,65.42 
40.01,100,7300,28.08,65.43 
40.57,180,7200,27.69,66.35 
41,100,7020,27,67.05 
42,780,6920,26.62,68.69 
42.7,2020,6140,23.62,69.83 
43,650,4120,15.85,70.32 
43.45,260,3470,13.35,71.06 
43.88,260,3210,12.35,71.76 
44,260,2950,11.35,71.96 
45,1050,2690,10.35,73.59 
45.02,260,1640,6.31,73.63 
45.75,130,1380,5.31,74.82 
45.82,260,1250,4.81,74.93 
46,520,990,3.81,75.23 
48,260,470,1.81,78.50 
48.5,110,210,0.81,79.32 
72,100,100,0.38,117.75 
