30,340,340,1,88.5
29,340,680,2,85.55
28.29,340,"1,020",3,83.45
28,880,"1,900",5.59,82.6
27,"1,980","3,880",11.41,79.65
26,"1,500","5,380",15.82,76.7
25.8,100,"5,480",16.12,76.11
25.6,680,"6,160",18.12,75.52
25.5,340,"6,500",19.12,75.22
25,"2,920","9,420",27.71,73.75
24,780,"10,200",30,70.8
23.95,920,"11,120",32.71,70.65
23.9,340,"11,460",33.71,70.5
23.8,150,"11,610",34.15,70.21
23.04,340,"11,950",35.15,67.96
23.01,100,"12,050",35.44,67.88
23,"2,380","14,430",42.44,67.85
22.6,200,"14,630",43.03,66.67
22.58,340,"14,970",44.03,66.61
22.4,800,"15,770",46.38,66.08
22,780,"16,550",48.68,64.9
21.6,160,"16,710",49.15,63.72
21,"1,800","18,510",54.44,61.95
20.5,"1,020","19,530",57.44,60.47
20.4,340,"19,870",58.44,60.18
20.28,340,"20,210",59.44,59.82
20,"2,140","22,350",65.74,59
19.9,100,"22,450",66.03,58.7
19.51,100,"22,550",66.32,57.55
19.2,540,"23,090",67.91,56.64
19,510,"23,600",69.41,56.05
18.5,100,"23,700",69.71,54.57
17.5,340,"24,040",70.71,51.62
16.5,100,"24,140",71,48.67
16,470,"24,610",72.38,47.2
15.5,340,"24,950",73.38,45.72
15,340,"25,290",74.38,44.25
14.97,340,"25,630",75.38,44.16
