39.6,300,300,1,86.09
38,300,600,2,82.61
35.8,100,700,2.33,77.83
35,300,1000,3.33,76.09
34,100,1100,3.67,73.91
33.37,730,1830,6.1,72.54
33.1,350,2180,7.27,71.96
33,1960,4140,13.8,71.74
32.56,900,5040,16.8,70.78
32,7560,12600,42,69.57
31.68,300,12900,43,68.87
31.6,300,13200,44,68.7
31,800,14000,46.67,67.39
30.01,200,14200,47.33,65.24
30,3900,18100,60.33,65.22
29.58,300,18400,61.33,64.3
29,600,19000,63.33,63.04
28.8,1180,20180,67.27,62.61
28.79,300,20480,68.27,62.59
28.65,100,20580,68.6,62.28
28.51,600,21180,70.6,61.98
28.38,450,21630,72.1,61.7
28,1970,23600,78.67,60.87
27.72,300,23900,79.67,60.26
27.6,300,24200,80.67,60
27.35,210,24410,81.37,59.46
27,100,24510,81.7,58.7
26.6,200,24710,82.37,57.83
26.51,300,25010,83.37,57.63
26.4,300,25310,84.37,57.39
26,3310,28620,95.4,56.52
25.97,100,28720,95.73,56.46
25.6,300,29020,96.73,55.65
25,1200,30220,100.7,54.35
24.95,300,30520,101.7,54.24
24.5,300,30820,102.7,53.26
24.42,150,30970,103.2,53.09
24,700,31670,105.6,52.17
23.62,100,31770,105.9,51.35
23.5,100,31870,106.2,51.09
23.1,300,32170,107.2,50.22
23,1000,33170,110.6,50
22.9,100,33270,110.9,49.78
22.4,300,33570,111.9,48.7
22.18,300,33870,112.9,48.22
22,3550,37420,124.7,47.83
21.78,300,37720,125.7,47.35
20,600,38320,127.7,43.48
19.8,600,38920,129.7,43.04
19,300,39220,130.7,41.3
18.88,300,39520,131.7,41.04
18.8,150,39670,132.2,40.87
18.18,300,39970,133.2,39.52
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
