35,630,630,1.31,109.38
34,630,"1,260",2.63,106.25
33,480,"1,740",3.63,103.13
32,"2,280","4,020",8.38,100
31.85,480,"4,500",9.38,99.53
31,"3,280","7,780",16.21,96.88
30,480,"8,260",17.21,93.75
29.6,480,"8,740",18.21,92.5
29,480,"9,220",19.21,90.63
28,"1,080","10,300",21.46,87.5
27.5,300,"10,600",22.08,85.94
27.2,910,"11,510",23.98,85
27,"4,320","15,830",32.98,84.38
26,580,"16,410",34.19,81.25
25.6,960,"17,370",36.19,80
25.2,480,"17,850",37.19,78.75
25,"2,660","20,510",42.73,78.13
24.8,350,"20,860",43.46,77.5
24.69,160,"21,020",43.79,77.16
24.5,480,"21,500",44.79,76.56
24,"5,340","26,840",55.92,75
23.07,160,"27,000",56.25,72.09
23,"1,680","28,680",59.75,71.88
22.5,480,"29,160",60.75,70.31
22,"1,400","30,560",63.67,68.75
21.45,160,"30,720",64,67.03
21.2,480,"31,200",65,66.25
21.12,380,"31,580",65.79,66
21,"1,360","32,940",68.63,65.63
20.5,400,"33,340",69.46,64.06
20.1,480,"33,820",70.46,62.81
20.01,200,"34,020",70.88,62.53
20,"9,330","43,350",90.31,62.5
19.6,480,"43,830",91.31,61.25
19,"1,240","45,070",93.9,59.38
18.5,300,"45,370",94.52,57.81
18.01,280,"45,650",95.1,56.28
18,"3,720","49,370",102.85,56.25
17.6,"1,840","51,210",106.69,55
17.5,480,"51,690",107.69,54.69
17.15,400,"52,090",108.52,53.59
16.8,480,"52,570",109.52,52.5
16.5,480,"53,050",110.52,51.56
16,830,"53,880",112.25,50
15.5,480,"54,360",113.25,48.44
15,"1,060","55,420",115.46,46.88
14.7,480,"55,900",116.46,45.94
14,"1,920","57,820",120.46,43.75
13,100,"57,920",120.67,40.63
12,480,"58,400",121.67,37.5
