32,540,540,1,84.21
31,200,740,1.37,81.58
30,300,1040,1.93,78.95
29,1070,2110,3.91,76.32
27.9,540,2650,4.91,73.42
27,1080,3730,6.91,71.05
26,540,4270,7.91,68.42
25,9010,13280,24.59,65.79
24.75,120,13400,24.81,65.13
24.7,100,13500,25,65
24.5,840,14340,26.56,64.47
24.4,760,15100,27.96,64.21
24,540,15640,28.96,63.16
23.7,540,16180,29.96,62.37
23,1800,17980,33.3,60.53
22.6,920,18900,35,59.47
22.32,400,19300,35.74,58.74
22.09,270,19570,36.24,58.13
22.01,200,19770,36.61,57.92
22,12180,31950,59.17,57.89
21.8,540,32490,60.17,57.37
21.7,1860,34350,63.61,57.11
21.6,1080,35430,65.61,56.84
21.58,540,35970,66.61,56.79
21.5,340,36310,67.24,56.58
21.45,540,36850,68.24,56.45
21.1,540,37390,69.24,55.53
21,2260,39650,73.43,55.26
20.8,740,40390,74.8,54.74
20.5,100,40490,74.98,53.95
20.46,540,41030,75.98,53.84
20,7000,48030,88.94,52.63
19.8,740,48770,90.31,52.11
19.6,200,48970,90.69,51.58
19.5,100,49070,90.87,51.32
19.2,300,49370,91.43,50.53
19.1,200,49570,91.8,50.26
19,2160,51730,95.8,50
18.8,140,51870,96.06,49.47
18.6,2160,54030,100.06,48.95
18.15,110,54140,100.26,47.76
18.1,200,54340,100.63,47.63
18,5020,59360,109.93,47.37
17.8,200,59560,110.3,46.84
17.5,100,59660,110.48,46.05
17.2,1090,60750,112.5,45.26
17.05,300,61050,113.06,44.87
17,360,61410,113.72,44.74
16.36,540,61950,114.72,43.05
16.12,500,62450,115.65,42.42
15.56,270,62720,116.15,40.95
15.2,540,63260,117.15,40
14.71,540,63800,118.15,38.71
