10,100,"64,750",102.45,11.86
28.5,630,"64,650",102.29,33.81
38,630,"64,020",101.3,45.08
38.5,310,"63,390",100.3,45.67
42,950,"63,080",99.81,49.82
45,630,"62,130",98.31,53.38
50,2090,"61,500",97.31,59.31
50.8,500,"59,410",94,60.26
51.73,210,"58,910",93.21,61.36
53,560,"58,700",92.88,62.87
54,180,"58,140",91.99,64.06
54.6,630,"57,960",91.71,64.77
55,200,"57,330",90.71,65.24
55.77,210,"57,130",90.4,66.16
57,800,"56,920",90.06,67.61
58,100,"56,120",88.8,68.8
59.81,210,"56,020",88.64,70.95
60,4610,"55,810",88.31,71.17
60.2,800,"51,200",81.01,71.41
62.2,630,"50,400",79.75,73.78
63.6,630,"49,770",78.75,75.44
64,830,"49,140",77.75,75.92
65,2440,"48,310",76.44,77.1
66,300,"45,870",72.58,78.29
68,150,"45,570",72.1,80.66
68.8,630,"45,420",71.87,81.61
69.96,400,"44,790",70.87,82.99
70,7690,"44,390",70.24,83.04
70.01,100,"36,700",58.07,83.05
70.2,130,"36,600",57.91,83.27
72,730,"36,470",57.71,85.41
73,3280,"35,740",56.55,86.59
73.88,630,"32,460",51.36,87.64
74,1550,"31,830",50.36,87.78
74.2,1260,"30,280",47.91,88.02
74.5,1130,"29,020",45.92,88.37
74.53,1360,"27,890",44.13,88.41
74.6,260,"26,530",41.98,88.49
75,6920,"26,270",41.57,88.97
75.1,530,"19,350",30.62,89.09
75.2,210,"18,820",29.78,89.2
76,1080,"18,610",29.45,90.15
76.51,100,"17,530",27.74,90.76
78,630,"17,430",27.58,92.53
80,8490,"16,800",26.58,94.9
82,430,"8,310",13.15,97.27
83,200,"7,880",12.47,98.46
84.02,630,"7,680",12.15,99.67
84.8,630,"7,050",11.16,100.59
85,980,"6,420",10.16,100.83
85.2,230,"5,440",8.61,101.07
88.88,450,"5,210",8.24,105.43
90,3960,"4,760",7.53,106.76
95,170,800,1.27,112.69
98,630,630,1,116.25
