18,300,36290,120.97,52.94
20,300,35990,119.97,58.82
20.4,300,35690,118.97,60
21,600,35390,117.97,61.76
22,300,34790,115.97,64.71
24,900,34490,114.97,70.59
24.36,300,33590,111.97,71.65
25,1200,33290,110.97,73.53
26,1200,32090,106.97,76.47
26.1,300,30890,102.97,76.76
26.98,300,30590,101.97,79.35
27,900,30290,100.97,79.41
27.5,100,29390,97.97,80.88
28,1350,29290,97.63,82.35
28.8,300,27940,93.13,84.71
29,800,27640,92.13,85.29
29.4,300,26840,89.47,86.47
29.5,600,26540,88.47,86.76
29.52,120,25940,86.47,86.82
29.75,600,25820,86.07,87.5
30,2750,25220,84.07,88.24
30.15,300,22470,74.9,88.68
30.45,300,22170,73.9,89.56
30.5,100,21870,72.9,89.71
31,700,21770,72.57,91.18
31.5,300,21070,70.23,92.65
32,600,20770,69.23,94.12
33,2400,20170,67.23,97.06
33.2,140,17770,59.23,97.65
34.8,600,17630,58.77,102.35
34.9,300,17030,56.77,102.65
35,13050,16730,55.77,102.94
35.2,1150,3680,12.27,103.53
35.24,600,2530,8.43,103.65
36,550,1930,6.43,105.88
36.08,180,1380,4.6,106.12
39,900,1200,4,114.71
50.4,300,300,1,148.24
