77,200,200,0.59,96.25
75,"3,240","3,440",10.12,93.75
70.08,340,"3,780",11.12,87.6
70,"1,740","5,520",16.24,87.5
68,960,"6,480",19.06,85
65,"1,880","8,360",24.59,81.25
64.35,470,"8,830",25.97,80.44
63,640,"9,470",27.85,78.75
62.8,340,"9,810",28.85,78.5
62.5,100,"9,910",29.15,78.13
62.09,300,"10,210",30.03,77.61
62,"7,280","17,490",51.44,77.5
61.9,110,"17,600",51.76,77.38
61,290,"17,890",52.62,76.25
60.84,340,"18,230",53.62,76.05
60.1,340,"18,570",54.62,75.13
60.01,200,"18,770",55.21,75.01
60,"5,390","24,160",71.06,75
59.2,100,"24,260",71.35,74
59,340,"24,600",72.35,73.75
58.5,"1,020","25,620",75.35,73.13
58.2,680,"26,300",77.35,72.75
58.01,300,"26,600",78.24,72.51
58,"1,760","28,360",83.41,72.5
57.85,170,"28,530",83.91,72.31
57,860,"29,390",86.44,71.25
56.5,340,"29,730",87.44,70.63
56,800,"30,530",89.79,70
55,"4,500","35,030",103.03,68.75
54,980,"36,010",105.91,67.5
53.5,100,"36,110",106.21,66.88
53,"3,570","39,680",116.71,66.25
52.65,250,"39,930",117.44,65.81
52,340,"40,270",118.44,65
51.3,120,"40,390",118.79,64.13
51,"1,020","41,410",121.79,63.75
50.18,340,"41,750",122.79,62.73
50,680,"42,430",124.79,62.5
49.73,340,"42,770",125.79,62.16
49.7,340,"43,110",126.79,62.13
49,"1,560","44,670",131.38,61.25
48.95,540,"45,210",132.97,61.19
48,"1,320","46,530",136.85,60
47.58,110,"46,640",137.18,59.48
47.4,210,"46,850",137.79,59.25
46.8,"1,020","47,870",140.79,58.5
46.45,340,"48,210",141.79,58.06
45,890,"49,100",144.41,56.25
44.5,340,"49,440",145.41,55.63
44.46,340,"49,780",146.41,55.58
43,140,"49,920",146.82,53.75
42.23,110,"50,030",147.15,52.79
42.1,130,"50,160",147.53,52.63
32.46,340,"50,500",148.53,40.58
