25,200,200,0.31,72.89
24,450,650,1.02,69.97
22.5,"1,730","2,380",3.72,65.6
22,"1,280","3,660",5.72,64.14
21,"1,680","5,340",8.34,61.22
20,"8,020","13,360",20.88,58.31
19.9,300,"13,660",21.34,58.02
19,"5,970","19,630",30.67,55.39
18.99,600,"20,230",31.61,55.36
18.9,640,"20,870",32.61,55.1
18.5,200,"21,070",32.92,53.94
18.1,"1,280","22,350",34.92,52.77
18,"6,560","28,910",45.17,52.48
17.8,320,"29,230",45.67,51.9
17.5,"2,430","31,660",49.47,51.02
17,"2,280","33,940",53.03,49.56
16.8,"2,970","36,910",57.67,48.98
16.5,"2,500","39,410",61.58,48.1
16.1,200,"39,610",61.89,46.94
16,"5,950","45,560",71.19,46.65
15.8,600,"46,160",72.13,46.06
15.75,"1,030","47,190",73.73,45.92
15,"7,440","54,630",85.36,43.73
14.98,640,"55,270",86.36,43.67
14.5,220,"55,490",86.7,42.27
14.28,640,"56,130",87.7,41.63
14,"2,190","58,320",91.13,40.82
13.5,640,"58,960",92.13,39.36
13,"1,420","60,380",94.34,37.9
12.88,"1,140","61,520",96.13,37.55
12.5,"3,840","65,360",102.13,36.44
11,400,"65,760",102.75,32.07
9.5,840,"66,600",104.06,27.7
