18,500,"66,280",132.56,56.25
19,500,"65,780",131.56,59.38
20,"1,000","65,280",130.56,62.5
21,"1,460","64,280",128.56,65.63
21.1,340,"62,820",125.64,65.94
22,500,"62,480",124.96,68.75
22.8,"1,000","61,980",123.96,71.25
23,600,"60,980",121.96,71.88
23.2,"1,000","60,380",120.76,72.5
23.9,100,"59,380",118.76,74.69
24,800,"59,280",118.56,75
24.3,"1,000","58,480",116.96,75.94
24.7,"1,500","57,480",114.96,77.19
24.88,500,"55,980",111.96,77.75
25,"4,260","55,480",110.96,78.13
25.7,200,"51,220",102.44,80.31
25.92,"2,370","51,020",102.04,81
26,"3,610","48,650",97.3,81.25
26.01,200,"45,040",90.08,81.28
26.6,"1,000","44,840",89.68,83.13
26.7,"1,500","43,840",87.68,83.44
27,"1,600","42,340",84.68,84.38
27.2,500,"40,740",81.48,85
27.4,200,"40,240",80.48,85.63
27.5,"1,000","40,040",80.08,85.94
28,"3,620","39,040",78.08,87.5
28.5,"1,000","35,420",70.84,89.06
29,300,"34,420",68.84,90.63
29.1,210,"34,120",68.24,90.94
29.4,500,"33,910",67.82,91.88
29.5,500,"33,410",66.82,92.19
29.64,500,"32,910",65.82,92.63
29.98,400,"32,410",64.82,93.69
30,"7,580","32,010",64.02,93.75
30.4,"5,000","24,430",48.86,95
30.8,"1,000","19,430",38.86,96.25
31,"3,080","18,430",36.86,96.88
31.92,500,"15,350",30.7,99.75
32,"2,200","14,850",29.7,100
33,"2,680","12,650",25.3,103.13
33.4,900,"9,970",19.94,104.38
34,300,"9,070",18.14,106.25
34.9,500,"8,770",17.54,109.06
35,"3,520","8,270",16.54,109.38
36,950,"4,750",9.5,112.5
37,300,"3,800",7.6,115.63
38,"1,300","3,500",7,118.75
39,200,"2,200",4.4,121.88
39.9,500,"2,000",4,124.69
40,"1,500","1,500",3,125
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
