10,500,"60,930",121.86,43.45
10.75,500,"60,430",120.86,46.71
12,500,"59,930",119.86,52.14
12.6,"1,800","59,430",118.86,54.75
13,"1,500","57,630",115.26,56.49
13.2,"1,000","56,130",112.26,57.36
13.6,200,"55,130",110.26,59.1
14.08,500,"54,930",109.86,61.18
14.2,100,"54,430",108.86,61.7
14.5,"2,120","54,330",108.66,63.01
15,"6,030","52,210",104.42,65.18
15.2,"1,700","46,180",92.36,66.05
15.38,500,"44,480",88.96,66.83
15.5,500,"43,980",87.96,67.35
15.59,500,"43,480",86.96,67.74
15.66,"1,000","42,980",85.96,68.05
15.8,200,"41,980",83.96,68.66
16,"1,500","41,780",83.56,69.53
16.2,200,"40,280",80.56,70.4
16.21,"1,000","40,080",80.16,70.44
16.28,"3,900","39,080",78.16,70.74
16.65,"1,000","35,180",70.36,72.35
16.8,"1,300","34,180",68.36,73
17,"1,950","32,880",65.76,73.87
17.3,500,"30,930",61.86,75.18
17.5,200,"30,430",60.86,76.04
17.52,500,"30,230",60.46,76.13
17.6,"5,310","29,730",59.46,76.48
17.74,"1,000","24,420",48.84,77.09
17.8,500,"23,420",46.84,77.35
18,"8,300","22,920",45.84,78.22
18.5,500,"14,620",29.24,80.39
19,750,"14,120",28.24,82.56
19.2,500,"13,370",26.74,83.43
19.5,500,"12,870",25.74,84.74
20,"9,960","12,370",24.74,86.91
20.1,880,"2,410",4.82,87.34
21,930,"1,530",3.06,91.25
24,100,600,1.2,104.29
25.6,500,500,1,111.24
