43,670,670,1,93.48
39,130,800,1.19,84.78
36,240,1040,1.55,78.26
35,10440,11480,17.13,76.09
34.18,670,12150,18.13,74.3
34,1840,13990,20.88,73.91
33.3,670,14660,21.88,72.39
33,3460,18120,27.04,71.74
32.88,190,18310,27.33,71.48
32.8,3750,22060,32.93,71.3
32.5,1340,23400,34.93,70.65
32,5240,28640,42.75,69.57
31.2,190,28830,43.03,67.83
31,4110,32940,49.16,67.39
30.24,670,33610,50.16,65.74
30.2,1340,34950,52.16,65.65
30.1,970,35920,53.61,65.43
30,36830,72750,108.58,65.22
29.98,670,73420,109.58,65.17
29.5,1610,75030,111.99,64.13
29.25,670,75700,112.99,63.59
29.2,790,76490,114.16,63.48
29.18,670,77160,115.16,63.43
29.05,370,77530,115.72,63.15
29,13950,91480,136.54,63.04
28.98,670,92150,137.54,63
28.8,1240,93390,139.39,62.61
28.56,670,94060,140.39,62.09
28.5,1340,95400,142.39,61.96
28.13,670,96070,143.39,61.15
28,20320,116390,173.72,60.87
27.6,680,117070,174.73,60
27.4,310,117380,175.19,59.57
27.3,500,117880,175.94,59.35
27,5550,123430,184.22,58.7
26.97,1340,124770,186.22,58.63
26.8,670,125440,187.22,58.26
26.56,670,126110,188.22,57.74
26.01,370,126480,188.78,56.54
26,7060,133540,199.31,56.52
25.2,1210,134750,201.12,54.78
25,6170,140920,210.33,54.35
24.9,970,141890,211.78,54.13
24.21,1020,142910,213.3,52.63
24.13,230,143140,213.64,52.46
24,2090,145230,216.76,52.17
23.8,670,145900,217.76,51.74
23.5,670,146570,218.76,51.09
23.4,1010,147580,220.27,50.87
23.24,370,147950,220.82,50.52
23.01,300,148250,221.27,50.02
23,1220,149470,223.09,50
22.9,670,150140,224.09,49.78
22.88,350,150490,224.61,49.74
22.75,3880,154370,230.4,49.46
22.58,220,154590,230.73,49.09
22.5,670,155260,231.73,48.91
21,670,155930,232.73,45.65
20.89,220,156150,233.06,45.41
20.8,670,156820,234.06,45.22
20.59,320,157140,234.54,44.76
20,2710,159850,238.58,43.48
19.5,1000,160850,240.07,42.39
18.5,670,161520,241.07,40.22
18,100,161620,241.22,39.13
16.2,670,162290,242.22,35.22
