37,440,37720,85.73,40.22
40,400,37280,84.73,43.48
41,440,36880,83.82,44.57
42,440,36440,82.82,45.65
44,270,36000,81.82,47.83
46.2,640,35730,81.2,50.22
48,640,35090,79.75,52.17
49,100,34450,78.3,53.26
50,1320,34350,78.07,54.35
50.24,180,33030,75.07,54.61
52,440,32850,74.66,56.52
54,880,32410,73.66,58.7
55,1340,31530,71.66,59.78
55.5,440,30190,68.61,60.33
56,200,29750,67.61,60.87
56.7,880,29550,67.16,61.63
57,540,28670,65.16,61.96
58,880,28130,63.93,63.04
59,440,27250,61.93,64.13
60,1840,26810,60.93,65.22
60.01,100,24970,56.75,65.23
60.48,600,24870,56.52,65.74
61,980,24270,55.16,66.3
62,300,23290,52.93,67.39
62.07,440,22990,52.25,67.47
62.8,260,22550,51.25,68.26
65,1760,22290,50.66,70.65
66,1540,20530,46.66,71.74
66.16,440,18990,43.16,71.91
66.5,940,18550,42.16,72.28
67,440,17610,40.02,72.83
68,1850,17170,39.02,73.91
70,990,15320,34.82,76.09
71,150,14330,32.57,77.17
71.82,170,14180,32.23,78.07
72,400,14010,31.84,78.26
73,290,13610,30.93,79.35
74,150,13320,30.27,80.43
75,4570,13170,29.93,81.52
75.6,840,8600,19.55,82.17
75.98,540,7760,17.64,82.59
76,1240,7220,16.41,82.61
77,250,5980,13.59,83.7
77.49,200,5730,13.02,84.23
77.5,440,5530,12.57,84.24
78,400,5090,11.57,84.78
79,440,4690,10.66,85.87
79.4,440,4250,9.66,86.3
80,1340,3810,8.66,86.96
83,400,2470,5.61,90.22
83.9,110,2070,4.7,91.2
85,640,1960,4.45,92.39
88,880,1320,3,95.65
94.5,440,440,1,102.72
